L,backlight_control,for controlling the screen brightness.
M,neovim,for editing text based files.
M,firefox,browsing the web.
M,sxiv,for viewing images.
M,dunst,for getting notifications.
M,man-db,to read man pages.
M,unclutter,for hidding inactive mouse.
M,xorg-xwininfo,for querying information about windows.
M,xorg-server,as a graphical server
M,xorg-xinit,for starting the graphical server
M,picom,as a X compositor
M,zsh,the shell used by default
M,slock,for locking the screen
M,xwallpaper,for setting the background
A,zsh-fast-syntax-highlighting,syntax highlighting in ZSH
A,zsh-you-should-use,suggesting aliases in ZSH
G,https://github.com/bertmad3400/dwm.git,my build of DWM
G,https://github.com/bertmad3400/st.git,my build of ST
G,https://git.suckless.org/dmenu,suckless build of DMENU
